Company Name,Symbol,Sector
ACC Ltd.,ACC.NS,Cement & Cement Products
Adani Ports,ADANIPORTS.NS,Infrastructure
Ambuja Cements Ltd.,AMBUJACEM.NS,Cement & Cement Products
Asian Paints,ASIANPAINT.NS,Consumer Goods
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,Healthcare Services
Axis Bank,AXISBANK.NS,Banking
Bajaj Finance,BAJFINANCE.NS,Financial Services
Bajaj Finserv,BAJAJFINSV.NS,Financial Services
Bharti Airtel,BHARTIARTL.NS,Telecommunication
Bharat Petroleum,BPCL.NS,Energy - Oil & Gas
Britannia Industries,BRITANNIA.NS,Consumer Goods
Cadila Healthcare Ltd.,CADILAHC.NS,Pharmaceuticals
Cipla,CIPLA.NS,Pharmaceuticals
Coal India,COALINDIA.NS,Energy & Mining
Divi's Laboratories,DIVISLAB.NS,Pharmaceuticals
Dr. Reddy's Laboratories,DRREDDY.NS,Pharmaceuticals
Eicher Motors,EICHERMOT.NS,Automobile
Grasim Industries,GRASIM.NS,Cement
HCL Technologies,HCLTECH.NS,Information Technology
HDFC Bank,HDFCBANK.NS,Banking
HDFC Life,HDFCLIFE.NS,Insurance
Hero MotoCorp,HEROMOTOCO.NS,Automobile
Hindalco Industries,HINDALCO.NS,Metals
Hindustan Unilever,HINDUNILVR.NS,Consumer Goods
ICICI Bank,ICICIBANK.NS,Banking
IndusInd Bank,INDUSINDBK.NS,Banking
Infosys,INFY.NS,Information Technology
InterGlobe Aviation Ltd.,INDIGO.NS,Services
ITC Limited,ITC.NS,Consumer Goods
Lupin Ltd.,LUPIN.NS,Pharmaceuticals
Kotak Mahindra Bank,KOTAKBANK.NS,Banking
Mahindra & Mahindra,M&M.NS,Automobile
Maruti Suzuki,MARUTI.NS,Automobile
MRF Ltd.,MRF.NS,Automobile
NMDC Ltd.,NMDC.NS,Metals
NTPC,NTPC.NS,Energy - Power
Oil and Natural Gas Corporation,ONGC.NS,Energy - Oil & Gas
Petronet LNG Ltd.,PETRONET.NS,Oil & Gas
Power Grid Corporation of India,POWERGRID.NS,Energy - Power
Reliance Industries,RELIANCE.NS,Energy - Oil & Gas
State Bank of India,SBIN.NS,Banking
SBI Life Insurance Company,SBILIFE.NS,Insurance
Shree Cements,SHREECEM.NS,Cement
Sun Pharmaceutical,SUNPHARMA.NS,Pharmaceuticals
Tata Motors,TATAMOTORS.NS,Automobile
Tata Steel,TATASTEEL.NS,Metals
Tata Consumer Products,TATACONSUM.NS,Consumer Goods
Tech Mahindra,TECHM.NS,Information Technology
Titan Company,TITAN.NS,Consumer Goods
UltraTech Cement,ULTRACEMCO.NS,Cement
